Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Chris BARTON,Chris,BARTON,USA,USA0019,"Giro d'Italia, 2011",,,BMC RACING TEAM,,,,,,,,
Andrea NOE,Andrea,NOE,ITA,ITA0096,"Giro d'Italia, 2011",,,FARNESE VINI - NERI SOTTOLI,,,,,,,,
Danilo NAPOLITANO,Danilo,NAPOLITANO,ITA,ITA0097,"Tour de France, 2009",TEAM KATUSHA,,ACQUA & SAPONE,,,,,,,,
Tom-Jelte SLAGTER,Tom-Jelte,SLAGTER,NED,NED0016,"Tour de France, 2018",,,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,,GARMIN SHARP,TEAM CANNONDALE - GARMIN,CANNONDALE-DRAPAC PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,TEAM DIMENSION DATA,
Chris BUTLER,Chris,BUTLER,USA,USA0020,"Giro d'Italia, 2011",,,BMC RACING TEAM,,,,,,,,
Ryder HESJEDAL,Ryder,HESJEDAL,CAN,CAN0003,"Tour de France, 2011",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,GARMIN - BARRACUDA,GARMIN SHARP,GARMIN SHARP,TEAM CANNONDALE - GARMIN,TREK - SEGAFREDO,,,
Thomas DE GENDT,Thomas,DE GENDT,BEL,BEL0021,"Tour de France, 2018",,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL
Sergio Luis HENAO MONTOYA,Sergio Luis,HENAO MONTOYA,COL,COL0010,"Vuelta a España, 2015",,,,SKY PROCYCLING,SKY PROCYCLING,,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,UAE TEAM EMIRATES
Damiano CARUSO,Damiano,CARUSO,ITA,ITA0098,"Vuelta a España, 2014",,,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,CANNONDALE,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BAHRAIN - MERIDA
Sandy CASAR,Sandy,CASAR,FRA,FRA0037,"Tour de France, 2011",FRANÇAISE DES JEUX,FDJ,FDJ,FDJ-BIG MAT,FDJ,,,,,,
Tanel KANGERT,Tanel,KANGERT,EST,EST0003,"Vuelta a España, 2011",,,PRO TEAM ASTANA,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,ASTANA PRO TEAM,EF EDUCATION FIRST
Juan Antonio FLECHA GIANNONI,Juan Antonio,FLECHA GIANNONI,ESP,ESP0047,"Tour de France, 2013",RABOBANK,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,
Beñat INTXAUSTI ELORRIAGA,Beñat,INTXAUSTI ELORRIAGA,ESP,ESP0048,"Vuelta a España, 2010",FUJI-SERVETTO,EUSKALTEL - EUSKADI,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,,,,
Amets TXURRUKA ANSOLA,Amets,TXURRUKA ANSOLA,ESP,ESP0049,"Vuelta a España, 2015",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,CAJA RURAL - SEGUROS RGA,CAJA RURAL - SEGUROS RGA,CAJA RURAL-SEGUROS RGA,ORICA GreenEDGE,,,
Jose HERRADA,Jose,HERRADA,ESP,ESP0050,"Vuelta a España, 2019",,,,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS"
Ion IZAGUIRRE INSAUSTI,Ion,IZAGUIRRE INSAUSTI,ESP,ESP0051,"Tour de France, 2018",,,,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,,BAHRAIN - MERIDA,ASTANA PRO TEAM
Fabio FELLINE,Fabio,FELLINE,ITA,ITA0099,"Vuelta a España, 2018",,FOOTON-SERVETTO,,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - VENEZUELA,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,,TREK - SEGAFREDO,TREK - SEGAFREDO
Ivan SANTAROMITA,Ivan,SANTAROMITA,ITA,ITA0100,"Vuelta a España, 2010",,LIQUIGAS-DOIMO,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,ORICA GreenEDGE,,,,,NIPPO - VINI FANTINI - FAIZANE'
Grischa Jan NIERMANN,Grischa Jan,NIERMANN,GER,GER0020,"Tour de France, 2011",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,,,,,,,
Juan Manuel GARATE CEPA,Juan Manuel,GARATE CEPA,ESP,ESP0052,"Tour de France, 2011",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BLANCO PRO CYCLING TEAM,,,,,,
Miguel Angel RUBIANO CHAVEZ,Miguel Angel,RUBIANO CHAVEZ,COL,COL0011,"Vuelta a España, 2015",,,,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - VENEZUELA,COLOMBIA,COLOMBIA,,,,
Nelson OLIVEIRA,Nelson,OLIVEIRA,POR,POR0004,"Vuelta a España, 2018",,,TEAM RADIOSHACK,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,LAMPRE-MERIDA,LAMPRE - MERIDA,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM
Jan BÁRTA,Jan,BÁRTA,CZE,CZE0003,"Vuelta a España, 2013",,,,TEAM NETAPP,TEAM NETAPP - ENDURA,TEAM NETAPP - ENDURA,BORA-ARGON 18,BORA-ARGON 18,BORA - HANSGROHE,,
Adriano MALORI,Adriano,MALORI,ITA,ITA0101,"Tour de France, 2015",,LAMPRE-FARNESE VINI,LAMPRE - ISD,LAMPRE - ISD,LAMPRE-MERIDA,MOVISTAR TEAM,MOVISTAR TEAM,,,,
Ben HERMANS,Ben,HERMANS,BEL,BEL0022,"Vuelta a España, 2016",,,,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,BMC RACING TEAM,,BMC RACING TEAM,,ISRAEL CYCLING ACADEMY,
Enrico BATTAGLIN,Enrico,BATTAGLIN,ITA,ITA0102,"Giro d'Italia, 2019",,,,COLNAGO - CSF INOX,BARDIANI VALVOLE - CSF INOX,BARDIANI CSF,BARDIANI CSF,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM KATUSHA ALPECIN
Stefan DENIFL,Stefan,DENIFL,AUT,AUT0004,"Vuelta a España, 2017",,CERVELO TEST TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,IAM CYCLING,AQUA BLUE SPORT,,
Geoffrey SOUPE,Geoffrey,SOUPE,FRA,FRA0038,"Vuelta a España, 2014",,,,FDJ-BIG MAT,FDJ.fr,FDJ.fr,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,,
Francis MOUREY,Francis,MOUREY,FRA,FRA0039,"Giro d'Italia, 2015",,,,FDJ-BIG MAT,FDJ,FDJ.fr,FDJ,,,,
Geraint THOMAS,Geraint,THOMAS,GBR,GBR0014,"Tour de France, 2019",,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,TEAM SKY,TEAM SKY,TEAM SKY,,TEAM SKY,TEAM INEOS
Gatis SMUKULIS,Gatis,SMUKULIS,LAT,LAT0001,"Vuelta a España, 2016",,,,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,ASTANA PRO TEAM,,,
Simone PONZI,Simone,PONZI,ITA,ITA0103,"Giro d'Italia, 2017",,,,ASTANA PRO TEAM,,NERI SOTTOLI,,,CCC SPRANDI POLKOWICE,,
Julien VERMOTE,Julien,VERMOTE,BEL,BEL0023,"Tour de France, 2018",,,,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,ETIXX - QUICK STEP,QUICK - STEP FLOORS,TEAM DIMENSION DATA,
Angelo PAGANI,Angelo,PAGANI,ITA,ITA0104,"Giro d'Italia, 2012",,,,COLNAGO - CSF INOX,,,,,,,
Sonny COLBRELLI,Sonny,COLBRELLI,ITA,ITA0105,"Tour de France, 2019",,,,COLNAGO - CSF INOX,BARDIANI VALVOLE - CSF INOX,BARDIANI CSF,BARDIANI CSF,BARDIANI CSF,BAHRAIN - MERIDA,BAHRAIN - MERIDA,BAHRAIN - MERIDA
Brian BULGAC,Brian,BULGAC,NED,NED0017,"Giro d'Italia, 2013",,,,LOTTO BELISOL TEAM,LOTTO BELISOL,,,,,,
Alessandro BALLAN,Alessandro,BALLAN,ITA,ITA0106,"Tour de France, 2010",LAMPRE - N.G.C,BMC RACING TEAM,,BMC RACING TEAM,,,,,,,
Nikolas MAES,Nikolas,MAES,BEL,BEL0024,"Vuelta a España, 2015",,QUICK STEP,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,,,,
Cesare BENEDETTI,Cesare,BENEDETTI,ITA,ITA0107,"Tour de France, 2016",,,,TEAM NETAPP,,,,BORA-ARGON 18,BORA - HANSGROHE,BORA - HANSGROHE,BORA - HANSGROHE
Andreas DIETZIKER,Andreas,DIETZIKER,SUI,SUI0015,"Giro d'Italia, 2012",,,,TEAM NETAPP,,,,,,,
Jack BAUER,Jack,BAUER,NZL,NZL0003,"Tour de France, 2018",,,,GARMIN - BARRACUDA,GARMIN SHARP,GARMIN SHARP,TEAM CANNONDALE - GARMIN,,QUICK - STEP FLOORS,MITCHELTON - SCOTT,MITCHELTON - SCOTT
Pier Paolo DE NEGRI,Pier Paolo,DE NEGRI,ITA,ITA0108,"Giro d'Italia, 2015",,,,FARNESE VINI - SELLE ITALIA,,,NIPPO - VINI FANTINI,,,,
Daniel SCHORN,Daniel,SCHORN,AUT,AUT0005,"Vuelta a España, 2013",,,,TEAM NETAPP,TEAM NETAPP - ENDURA,,,,,,
Sebastien ROSSELER,Sebastien,ROSSELER,BEL,BEL0025,"Tour de France, 2009",QUICK STEP,,,GARMIN - BARRACUDA,,,,,,,
Martijn KEIZER,Martijn,KEIZER,NED,NED0018,"Vuelta a España, 2011",,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,,
Jens KEUKELEIRE,Jens,KEUKELEIRE,BEL,BEL0026,"Vuelta a España, 2016",,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA-BIKEEXCHANGE,ORICA - SCOTT,,LOTTO SOUDAL
Victor CABEDO,Victor,CABEDO,ESP,ESP0053,"Giro d'Italia, 2012",,,,EUSKALTEL - EUSKADI,,,,,,,
Giacomo NIZZOLO,Giacomo,NIZZOLO,ITA,ITA0109,"Vuelta a España, 2018",,,,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,,TREK - SEGAFREDO,
Manuele BOARO,Manuele,BOARO,ITA,ITA0110,"Giro d'Italia, 2019",,,,TEAM SAXO BANK,Team SAXO-TINKOFF,,TINKOFF - SAXO,TINKOFF,BAHRAIN - MERIDA,BAHRAIN - MERIDA,ASTANA PRO TEAM
Dennis VANENDERT,Dennis,VANENDERT,BEL,BEL0027,"Vuelta a España, 2013",,,,LOTTO BELISOL TEAM,LOTTO BELISOL,LOTTO BELISOL,,,,,
Gregor GAZVODA,Gregor,GAZVODA,SLO,SLO0007,"Giro d'Italia, 2012",,,,AG2R LA MONDIALE,,,,,,,
Christian MEIER,Christian,MEIER,CAN,CAN0004,"Vuelta a España, 2009",GARMIN - SLIPSTREAM,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,,,,,
Michal KWIATKOWSKI,Michal,KWIATKOWSKI,POL,POL0006,"Vuelta a España, 2016",,,,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,TEAM SKY,TEAM SKY,TEAM SKY,TEAM INEOS
Ramunas NAVARDAUSKAS,Ramunas,NAVARDAUSKAS,LTU,LTU0002,"Tour de France, 2015",,,TEAM GARMIN-CERVELO,GARMIN - BARRACUDA,GARMIN SHARP,GARMIN SHARP,TEAM CANNONDALE - GARMIN,CANNONDALE PRO CYCLING TEAM,,,
Jesse SERGENT,Jesse,SERGENT,NZL,NZL0004,"Vuelta a España, 2014",,,,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,TREK FACTORY RACING,,,,,
Marco BANDIERA,Marco,BANDIERA,ITA,ITA0111,"Tour de France, 2009",LAMPRE - N.G.C,,,OMEGA PHARMA-QUICKSTEP,,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - SIDERMEC,,,,
Jonas AAEN,Jonas,AAEN,DEN,DEN0009,"Vuelta a España, 2011",,,SAXO BANK SUNGARD,TEAM SAXO BANK,,,,,,,
Mickael DELAGE,Mickael,DELAGE,FRA,FRA0040,"Vuelta a España, 2018",SILENCE-LOTTO,OMEGA PHARMA-LOTTO,FDJ,FDJ-BIG MAT,,FDJ.fr,FDJ,FDJ,,GROUPAMA - FDJ,
Bernhard EISEL,Bernhard,EISEL,AUT,AUT0006,"Tour de France, 2017",TEAM COLUMBIA - HTC,TEAM HTC - COLUMBIA,HTC-HIGHROAD,SKY PROCYCLING,,TEAM SKY,TEAM SKY,TEAM DIMENSION DATA,TEAM DIMENSION DATA,,
Marco COLEDAN,Marco,COLEDAN,ITA,ITA0112,"Giro d'Italia, 2018",,,,COLNAGO - CSF INOX,,,TREK FACTORY RACING,TREK - SEGAFREDO,,WILIER TRIESTINA - SELLE ITALIA,
Andreas SCHILLINGER,Andreas,SCHILLINGER,GER,GER0021,"Vuelta a España, 2017",,,,TEAM NETAPP,,TEAM NETAPP - ENDURA,BORA-ARGON 18,BORA-ARGON 18,BORA - HANSGROHE,BORA - HANSGROHE,
Taylor PHINNEY,Taylor,PHINNEY,USA,USA0021,"Vuelta a España, 2011",,,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,,,,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,
Adrian SAEZ,Adrian,SAEZ,ESP,ESP0054,"Giro d'Italia, 2012",,,,EUSKALTEL - EUSKADI,,,,,,,
Thor HUSHOVD,Thor,HUSHOVD,NOR,NOR0005,"Tour de France, 2011",CERVELO TEST TEAM,CERVELO TEST TEAM,TEAM GARMIN-CERVELO,BMC RACING TEAM,,,,,,,
Stefano LOCATELLI,Stefano,LOCATELLI,ITA,ITA0113,"Giro d'Italia, 2013",,,,COLNAGO - CSF INOX,BARDIANI VALVOLE - CSF INOX,,,,,,
Ivan VELASCO MURILLO,Ivan,VELASCO MURILLO,ESP,ESP0055,"Vuelta a España, 2013",,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,CAJA RURAL - SEGUROS RGA,,,,,,
Andrea GUARDINI,Andrea,GUARDINI,ITA,ITA0114,"Vuelta a España, 2014",,,,FARNESE VINI - SELLE ITALIA,,ASTANA PRO TEAM,,,,,
Alfredo BALLONI,Alfredo,BALLONI,ITA,ITA0115,"Giro d'Italia, 2012",,,,FARNESE VINI - SELLE ITALIA,,,,,,,
Arnaud DEMARE,Arnaud,DEMARE,FRA,FRA0041,"Tour de France, 2018",,,,FDJ-BIG MAT,,FDJ.fr,FDJ,FDJ,,GROUPAMA - FDJ,GROUPAMA - FDJ
Dominique ROLLIN,Dominique,ROLLIN,CAN,CAN0005,"Vuelta a España, 2015",CERVELO TEST TEAM,,,FDJ-BIG MAT,FDJ,,"COFIDIS, SOLUTIONS CREDITS",,,,
Daryl IMPEY,Daryl,IMPEY,RSA,RSA0003,"Tour de France, 2019",,,,ORICA GreenEDGE,ORICA GreenEDGE,,ORICA GreenEDGE,ORICA-BIKEEXCHANGE,ORICA - SCOTT,MITCHELTON - SCOTT,MITCHELTON - SCOTT
Tomas VAITKUS,Tomas,VAITKUS,LTU,LTU0003,"Tour de France, 2011",,,PRO TEAM ASTANA,ORICA GreenEDGE,,,,,,,
Gaetan BILLE,Gaetan,BILLE,BEL,BEL0028,"Giro d'Italia, 2012",,,,LOTTO BELISOL TEAM,,,,,,,
Gianni MEERSMAN,Gianni,MEERSMAN,BEL,BEL0029,"Vuelta a España, 2016",,FDJ,FDJ,LOTTO BELISOL TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,,ETIXX - QUICK STEP,ETIXX - QUICK STEP,,,
Martin VELITS,Martin,VELITS,SVK,SVK0001,"Vuelta a España, 2016",TEAM MILRAM,TEAM HTC - COLUMBIA,HTC-HIGHROAD,OMEGA PHARMA-QUICKSTEP,,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,ETIXX - QUICK STEP,,,
Theo BOS,Theo,BOS,NED,NED0019,"Vuelta a España, 2010",,CERVELO TEST TEAM,,RABOBANK CYCLING TEAM,,,,,,,
Thomas LEEZER,Thomas,LEEZER,NED,NED0020,"Vuelta a España, 2018",RABOBANK,,,RABOBANK CYCLING TEAM,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM JUMBO - VISMA
Fränk SCHLECK,Fränk,SCHLECK,LUX,LUX0003,"Vuelta a España, 2015",TEAM SAXO BANK,TEAM SAXO BANK,LEOPARD TREK,RADIOSHACK-NISSAN,,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,,,
Daniele BENNATI,Daniele,BENNATI,ITA,ITA0116,"Vuelta a España, 2016",LIQUIGAS,LIQUIGAS-DOIMO,LEOPARD TREK,RADIOSHACK-NISSAN,Team SAXO-TINKOFF,TINKOFF-SAXO,TINKOFF - SAXO,TINKOFF,MOVISTAR TEAM,MOVISTAR TEAM,
Timon SEUBERT,Timon,SEUBERT,GER,GER0022,"Giro d'Italia, 2012",,,,TEAM NETAPP,,,,,,,
Reto HOLLENSTEIN,Reto,HOLLENSTEIN,SUI,SUI0016,"Vuelta a España, 2018",,,,TEAM NETAPP,,IAM CYCLING,IAM CYCLING,IAM CYCLING,TEAM KATUSHA ALPECIN,TEAM KATUSHA ALPECIN,TEAM KATUSHA ALPECIN
Mads CHRISTENSEN,Mads,CHRISTENSEN,DEN,DEN0010,"Vuelta a España, 2011",,,SAXO BANK SUNGARD,TEAM SAXO BANK,Team SAXO-TINKOFF,,,,,,
Romain FEILLU,Romain,FEILLU,FRA,FRA0042,"Tour de France, 2014",AGRITUBEL,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,,BRETAGNE - SECHE ENVIRONNEMENT,,,,,
Tomasz MARCZYNSKI,Tomasz,MARCZYNSKI,POL,POL0007,"Vuelta a España, 2019",,,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL
Rafal MAJKA,Rafal,MAJKA,POL,POL0008,"Vuelta a España, 2017",,,SAXO BANK SUNGARD,TEAM SAXO BANK-TINKOFF BANK,Team SAXO-TINKOFF,TINKOFF-SAXO,TINKOFF - SAXO,TINKOFF,BORA - HANSGROHE,BORA - HANSGROHE,BORA - HANSGROHE
Samuel SANCHEZ GONZALEZ,Samuel,SANCHEZ GONZALEZ,ESP,ESP0056,"Vuelta a España, 2016",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,,,
Wilco KELDERMAN,Wilco,KELDERMAN,NED,NED0021,"Vuelta a España, 2019",,,,,BLANCO PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM SUNWEB,TEAM SUNWEB,TEAM SUNWEB
Jhon Darwin ATAPUMA HURTADO,Jhon Darwin,ATAPUMA HURTADO,COL,COL0012,"Vuelta a España, 2019",,,,,COLOMBIA,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,UAE TEAM EMIRATES,UAE TEAM EMIRATES,"COFIDIS, SOLUTIONS CREDITS"
Egoi MARTINEZ DE ESTEBAN,Egoi,MARTINEZ DE ESTEBAN,ESP,ESP0057,"Tour de France, 2012",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,,,,,,
Diego ROSA,Diego,ROSA,ITA,ITA0117,"Tour de France, 2016",,,,,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - VENEZUELA,ASTANA PRO TEAM,ASTANA PRO TEAM,TEAM SKY,,
Petr IGNATENKO,Petr,IGNATENKO,RUS,RUS0017,"Giro d'Italia, 2013",,,,,KATUSHA,,,,,,
Fabio ARU,Fabio,ARU,ITA,ITA0118,"Vuelta a España, 2018",,,,,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,UAE TEAM EMIRATES,UAE TEAM EMIRATES
Jarlinson PANTANO GOMEZ,Jarlinson,PANTANO GOMEZ,COL,COL0013,"Tour de France, 2017",,,,,COLOMBIA,COLOMBIA,IAM CYCLING,IAM CYCLING,TREK - SEGAFREDO,TREK - SEGAFREDO,
Thomas DAMUSEAU,Thomas,DAMUSEAU,FRA,FRA0043,"Giro d'Italia, 2013",,,,,TEAM ARGOS-SHIMANO,,,,,,
Rob RUIJGH,Rob,RUIJGH,NED,NED0022,"Tour de France, 2012",,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,
Luca PAOLINI,Luca,PAOLINI,ITA,ITA0119,"Vuelta a España, 2011",,,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,,,,
Christian KNEES,Christian,KNEES,GER,GER0023,"Vuelta a España, 2015",TEAM MILRAM,TEAM MILRAM,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,TEAM INEOS
Paul MARTENS,Paul,MARTENS,GER,GER0024,"Vuelta a España, 2014",RABOBANK,,RABOBANK CYCLING TEAM,,BLANCO PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM JUMBO - VISMA
Gorka VERDUGO MARCOTEGUI,Gorka,VERDUGO MARCOTEGUI,ESP,ESP0058,"Tour de France, 2012",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,,,,,,
Vladimir GUSEV,Vladimir,GUSEV,RUS,RUS0018,"Vuelta a España, 2010",,TEAM KATUSHA,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,,,,,
Kristijan ĐURASEK,Kristijan,ĐURASEK,CRO,CRO0003,"Tour de France, 2018",,,,,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,LAMPRE - MERIDA,UAE TEAM EMIRATES,UAE TEAM EMIRATES,
Francesco Manuel BONGIORNO,Francesco Manuel,BONGIORNO,ITA,ITA0120,"Giro d'Italia, 2016",,,,,BARDIANI VALVOLE - CSF INOX,BARDIANI CSF,BARDIANI CSF,BARDIANI CSF,,,
Salvatore PUCCIO,Salvatore,PUCCIO,ITA,ITA0121,"Vuelta a España, 2016",,,,,SKY PROCYCLING,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,TEAM INEOS
Marco MARCATO,Marco,MARCATO,ITA,ITA0122,"Vuelta a España, 2009",VACANSOLEIL PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,CANNONDALE,,,UAE TEAM EMIRATES,UAE TEAM EMIRATES,UAE TEAM EMIRATES
Koen DE KORT,Koen,DE KORT,NED,NED0023,"Vuelta a España, 2016",SKIL-SHIMANO,,SKIL - SHIMANO,TEAM ARGOS - SHIMANO,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,TEAM GIANT - ALPECIN,TREK - SEGAFREDO,TREK - SEGAFREDO,TREK - SEGAFREDO
Alessandro PRONI,Alessandro,PRONI,ITA,ITA0123,"Giro d'Italia, 2013",,,,,VINI FANTINI - SELLE ITALIA,,,,,,
Robert VRECER,Robert,VRECER,SLO,SLO0008,"Giro d'Italia, 2013",,,,,EUSKALTEL EUSKADI,,,,,,
Robinson Eduardo CHALAPUD GOMEZ,Robinson Eduardo,CHALAPUD GOMEZ,COL,COL0014,"Giro d'Italia, 2014",,,,,COLOMBIA,COLOMBIA,,,,,
Rory SUTHERLAND,Rory,SUTHERLAND,AUS,AUS0021,"Vuelta a España, 2015",,,,,Team SAXO-TINKOFF,,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,UAE TEAM EMIRATES,
Dirk BELLEMAKERS,Dirk,BELLEMAKERS,NED,NED0024,"Giro d'Italia, 2013",,,,,LOTTO BELISOL,,,,,,
Tobias LUDVIGSSON,Tobias,LUDVIGSSON,SWE,SWE0005,"Tour de France, 2018",,,,,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,TEAM GIANT - ALPECIN,FDJ,GROUPAMA - FDJ,GROUPAMA - FDJ
Johan LE BON,Johan,LE BON,FRA,FRA0044,"Vuelta a España, 2016",,,,,FDJ,FDJ.fr,,FDJ,,,
Juan Jose COBO ACEBO,Juan Jose,COBO ACEBO,ESP,ESP0059,"Vuelta a España, 2011",FUJI-SERVETTO,,GEOX-TMC,MOVISTAR TEAM,MOVISTAR TEAM,,,,,,
